"","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Rango_Age","Sobreviviente"
"229","Segunda clase","Masculino",18,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","11-20","No"
"230","Tercera clase","Femenino",5,"Con hermanos o cónyuges","Con hijos o padres",25.4667,"Southampton","0-10","No"
"231","Primera clase","Femenino",35,"Con hermanos o cónyuges","Sin hijos ni padres",83.475,"Southampton","31-40","Sí"
"232","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","No"
"233","Segunda clase","Masculino",59,"Sin hermanos ni cónyuges","Sin hijos ni padres",13.5,"Southampton","51-60","No"
"234","Tercera clase","Femenino",5,"Con hermanos o cónyuges","Con hijos o padres",31.3875,"Southampton","0-10","Sí"
"235","Segunda clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","21-30","No"
"236","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.55,"Southampton","21-30","No"
"237","Segunda clase","Masculino",44,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","41-50","No"
"238","Segunda clase","Femenino",8,"Sin hermanos ni cónyuges","Con hijos o padres",26.25,"Southampton","0-10","Sí"
"239","Segunda clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","11-20","No"
"240","Segunda clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",12.275,"Southampton","31-40","No"
"241","Tercera clase","Femenino",26,"Con hermanos o cónyuges","Sin hijos ni padres",14.4542,"Cherbourg","21-30","No"
"242","Tercera clase","Femenino",21,"Con hermanos o cónyuges","Sin hijos ni padres",15.5,"Queenstown","21-30","Sí"
"243","Segunda clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","21-30","No"
"244","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.125,"Southampton","21-30","No"
"245","Tercera clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","21-30","No"
"246","Primera clase","Masculino",44,"Con hermanos o cónyuges","Sin hijos ni padres",90,"Queenstown","41-50","No"
"247","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","No"
"248","Segunda clase","Femenino",24,"Sin hermanos ni cónyuges","Con hijos o padres",14.5,"Southampton","21-30","Sí"
"249","Primera clase","Masculino",37,"Con hermanos o cónyuges","Con hijos o padres",52.5542,"Southampton","31-40","Sí"
"250","Segunda clase","Masculino",54,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","51-60","No"
"251","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","No"
"252","Tercera clase","Femenino",29,"Con hermanos o cónyuges","Con hijos o padres",10.4625,"Southampton","21-30","No"
"253","Primera clase","Masculino",62,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","61-70","No"
"254","Tercera clase","Masculino",30,"Con hermanos o cónyuges","Sin hijos ni padres",16.1,"Southampton","21-30","No"
"255","Tercera clase","Femenino",41,"Sin hermanos ni cónyuges","Con hijos o padres",20.2125,"Southampton","41-50","No"
"256","Tercera clase","Femenino",29,"Sin hermanos ni cónyuges","Con hijos o padres",15.2458,"Cherbourg","21-30","Sí"
"257","Primera clase","Femenino",34,"Sin hermanos ni cónyuges","Sin hijos ni padres",79.2,"Cherbourg","31-40","Sí"
"258","Primera clase","Femenino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",86.5,"Southampton","21-30","Sí"
"259","Primera clase","Femenino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",512.3292,"Cherbourg","31-40","Sí"
"260","Segunda clase","Femenino",50,"Sin hermanos ni cónyuges","Con hijos o padres",26,"Southampton","41-50","Sí"
"261","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"262","Tercera clase","Masculino",3,"Con hermanos o cónyuges","Con hijos o padres",31.3875,"Southampton","0-10","Sí"
"263","Primera clase","Masculino",52,"Con hermanos o cónyuges","Con hijos o padres",79.65,"Southampton","51-60","No"
"264","Primera clase","Masculino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","31-40","No"
"265","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"266","Segunda clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","31-40","No"
"267","Tercera clase","Masculino",16,"Con hermanos o cónyuges","Con hijos o padres",39.6875,"Southampton","11-20","No"
"268","Tercera clase","Masculino",25,"Con hermanos o cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","Sí"
"269","Primera clase","Femenino",58,"Sin hermanos ni cónyuges","Con hijos o padres",153.4625,"Southampton","51-60","Sí"
"270","Primera clase","Femenino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",135.6333,"Southampton","31-40","Sí"
"271","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",31,"Southampton","41-50","No"
"272","Tercera clase","Masculino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","21-30","Sí"
"273","Segunda clase","Femenino",41,"Sin hermanos ni cónyuges","Con hijos o padres",19.5,"Southampton","41-50","Sí"
"274","Primera clase","Masculino",37,"Sin hermanos ni cónyuges","Con hijos o padres",29.7,"Cherbourg","31-40","No"
"275","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"276","Primera clase","Femenino",63,"Con hermanos o cónyuges","Sin hijos ni padres",77.9583,"Southampton","61-70","Sí"
"277","Tercera clase","Femenino",45,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Southampton","41-50","No"
"278","Segunda clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","31-40","No"
"279","Tercera clase","Masculino",7,"Con hermanos o cónyuges","Con hijos o padres",29.125,"Queenstown","0-10","No"
"280","Tercera clase","Femenino",35,"Con hermanos o cónyuges","Con hijos o padres",20.25,"Southampton","31-40","Sí"
"281","Tercera clase","Masculino",65,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","61-70","No"
"282","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8542,"Southampton","21-30","No"
"283","Tercera clase","Masculino",16,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.5,"Southampton","11-20","No"
"284","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","11-20","Sí"
"285","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",26,"Southampton","41-50","No"
"286","Tercera clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6625,"Cherbourg","31-40","No"
"287","Tercera clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.5,"Southampton","21-30","Sí"
"288","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"289","Segunda clase","Masculino",42,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","41-50","Sí"
"290","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"291","Primera clase","Femenino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",78.85,"Southampton","21-30","Sí"
"292","Primera clase","Femenino",19,"Con hermanos o cónyuges","Sin hijos ni padres",91.0792,"Cherbourg","11-20","Sí"
"293","Segunda clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",12.875,"Cherbourg","31-40","No"
"294","Tercera clase","Femenino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.85,"Southampton","21-30","No"
"295","Tercera clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"296","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",27.7208,"Cherbourg","41-50","No"
"297","Tercera clase","Masculino",23,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.2292,"Cherbourg","21-30","No"
"298","Primera clase","Femenino",2,"Con hermanos o cónyuges","Con hijos o padres",151.55,"Southampton","0-10","No"
"299","Primera clase","Masculino",39,"Sin hermanos ni cónyuges","Sin hijos ni padres",30.5,"Southampton","31-40","Sí"
"300","Primera clase","Femenino",50,"Sin hermanos ni cónyuges","Con hijos o padres",247.5208,"Cherbourg","41-50","Sí"
"301","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"302","Tercera clase","Masculino",29,"Con hermanos o cónyuges","Sin hijos ni padres",23.25,"Queenstown","21-30","Sí"
"303","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","11-20","No"
"304","Segunda clase","Femenino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",12.35,"Queenstown","31-40","Sí"
"305","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"306","Primera clase","Masculino",0,"Con hermanos o cónyuges","Con hijos o padres",151.55,"Southampton","0-10","Sí"
"307","Primera clase","Femenino",34,"Sin hermanos ni cónyuges","Sin hijos ni padres",110.8833,"Cherbourg","31-40","Sí"
"308","Primera clase","Femenino",17,"Con hermanos o cónyuges","Sin hijos ni padres",108.9,"Cherbourg","11-20","Sí"
"309","Segunda clase","Masculino",30,"Con hermanos o cónyuges","Sin hijos ni padres",24,"Cherbourg","21-30","No"
"310","Primera clase","Femenino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",56.9292,"Cherbourg","21-30","Sí"
"311","Primera clase","Femenino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",83.1583,"Cherbourg","21-30","Sí"
"312","Primera clase","Femenino",18,"Con hermanos o cónyuges","Con hijos o padres",262.375,"Cherbourg","11-20","Sí"
"313","Segunda clase","Femenino",26,"Con hermanos o cónyuges","Con hijos o padres",26,"Southampton","21-30","No"
"314","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"315","Segunda clase","Masculino",43,"Con hermanos o cónyuges","Con hijos o padres",26.25,"Southampton","41-50","No"
"316","Tercera clase","Femenino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8542,"Southampton","21-30","Sí"
"317","Segunda clase","Femenino",24,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","21-30","Sí"
"318","Segunda clase","Masculino",54,"Sin hermanos ni cónyuges","Sin hijos ni padres",14,"Southampton","51-60","No"
"319","Primera clase","Femenino",31,"Sin hermanos ni cónyuges","Con hijos o padres",164.8667,"Southampton","31-40","Sí"
"320","Primera clase","Femenino",40,"Con hermanos o cónyuges","Con hijos o padres",134.5,"Cherbourg","31-40","Sí"
"321","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","No"
"322","Tercera clase","Masculino",27,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"323","Segunda clase","Femenino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",12.35,"Queenstown","21-30","Sí"
"324","Segunda clase","Femenino",22,"Con hermanos o cónyuges","Con hijos o padres",29,"Southampton","21-30","Sí"
"325","Tercera clase","Masculino",29,"Con hermanos o cónyuges","Con hijos o padres",69.55,"Southampton","21-30","No"
"326","Primera clase","Femenino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",135.6333,"Cherbourg","31-40","Sí"
"327","Tercera clase","Masculino",61,"Sin hermanos ni cónyuges","Sin hijos ni padres",6.2375,"Southampton","61-70","No"
"328","Segunda clase","Femenino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"329","Tercera clase","Femenino",31,"Con hermanos o cónyuges","Con hijos o padres",20.525,"Southampton","31-40","Sí"
"330","Primera clase","Femenino",16,"Sin hermanos ni cónyuges","Con hijos o padres",57.9792,"Cherbourg","11-20","Sí"
"331","Tercera clase","Femenino",29,"Con hermanos o cónyuges","Sin hijos ni padres",23.25,"Queenstown","21-30","Sí"
"332","Primera clase","Masculino",45,"Sin hermanos ni cónyuges","Sin hijos ni padres",28.5,"Southampton","41-50","No"
"333","Primera clase","Masculino",38,"Sin hermanos ni cónyuges","Con hijos o padres",153.4625,"Southampton","31-40","No"
"334","Tercera clase","Masculino",16,"Con hermanos o cónyuges","Sin hijos ni padres",18,"Southampton","11-20","No"
"335","Primera clase","Femenino",37,"Con hermanos o cónyuges","Sin hijos ni padres",133.65,"Southampton","31-40","Sí"
"336","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"337","Primera clase","Masculino",29,"Con hermanos o cónyuges","Sin hijos ni padres",66.6,"Southampton","21-30","No"
"338","Primera clase","Femenino",41,"Sin hermanos ni cónyuges","Sin hijos ni padres",134.5,"Cherbourg","41-50","Sí"
"339","Tercera clase","Masculino",45,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","41-50","Sí"
"340","Primera clase","Masculino",45,"Sin hermanos ni cónyuges","Sin hijos ni padres",35.5,"Southampton","41-50","No"
"341","Segunda clase","Masculino",2,"Con hermanos o cónyuges","Con hijos o padres",26,"Southampton","0-10","Sí"
"342","Primera clase","Femenino",24,"Con hermanos o cónyuges","Con hijos o padres",263,"Southampton","21-30","Sí"
"343","Segunda clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"344","Segunda clase","Masculino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"345","Segunda clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","No"
"346","Segunda clase","Femenino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","Sí"
"347","Segunda clase","Femenino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"348","Tercera clase","Femenino",21,"Con hermanos o cónyuges","Sin hijos ni padres",16.1,"Southampton","21-30","Sí"
"349","Tercera clase","Masculino",3,"Con hermanos o cónyuges","Con hijos o padres",15.9,"Southampton","0-10","Sí"
"350","Tercera clase","Masculino",42,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6625,"Southampton","41-50","No"
"351","Tercera clase","Masculino",23,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.225,"Southampton","21-30","No"
"352","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",35,"Southampton","41-50","No"
"353","Tercera clase","Masculino",15,"Con hermanos o cónyuges","Con hijos o padres",7.2292,"Cherbourg","11-20","No"
"354","Tercera clase","Masculino",25,"Con hermanos o cónyuges","Sin hijos ni padres",17.8,"Southampton","21-30","No"
"355","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","21-30","No"
"356","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.5,"Southampton","21-30","No"
"357","Primera clase","Femenino",22,"Sin hermanos ni cónyuges","Con hijos o padres",55,"Southampton","21-30","Sí"
"358","Segunda clase","Femenino",38,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","No"
"359","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8792,"Queenstown","21-30","Sí"
"360","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8792,"Queenstown","21-30","Sí"
"361","Tercera clase","Masculino",40,"Con hermanos o cónyuges","Con hijos o padres",27.9,"Southampton","31-40","No"
"362","Segunda clase","Masculino",29,"Con hermanos o cónyuges","Sin hijos ni padres",27.7208,"Cherbourg","21-30","No"
"363","Tercera clase","Femenino",45,"Sin hermanos ni cónyuges","Con hijos o padres",14.4542,"Cherbourg","41-50","No"
"364","Tercera clase","Masculino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.05,"Southampton","31-40","No"
"365","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Sin hijos ni padres",15.5,"Queenstown","21-30","No"
"366","Tercera clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","No"
"367","Primera clase","Femenino",60,"Con hermanos o cónyuges","Sin hijos ni padres",75.25,"Cherbourg","51-60","Sí"
"368","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.2292,"Cherbourg","21-30","Sí"
"369","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"370","Primera clase","Femenino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",69.3,"Cherbourg","21-30","Sí"
"371","Primera clase","Masculino",25,"Con hermanos o cónyuges","Sin hijos ni padres",55.4417,"Cherbourg","21-30","Sí"
"372","Tercera clase","Masculino",18,"Con hermanos o cónyuges","Sin hijos ni padres",6.4958,"Southampton","11-20","No"
"373","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","11-20","No"
"374","Primera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",135.6333,"Cherbourg","21-30","No"
"375","Tercera clase","Femenino",3,"Con hermanos o cónyuges","Con hijos o padres",21.075,"Southampton","0-10","No"
"376","Primera clase","Femenino",37,"Con hermanos o cónyuges","Sin hijos ni padres",82.1708,"Cherbourg","31-40","Sí"
"377","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","Sí"
"378","Primera clase","Masculino",27,"Sin hermanos ni cónyuges","Con hijos o padres",211.5,"Cherbourg","21-30","No"
"379","Tercera clase","Masculino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",4.0125,"Cherbourg","11-20","No"
"380","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","11-20","No"
"381","Primera clase","Femenino",42,"Sin hermanos ni cónyuges","Sin hijos ni padres",227.525,"Cherbourg","41-50","Sí"
"382","Tercera clase","Femenino",1,"Sin hermanos ni cónyuges","Con hijos o padres",15.7417,"Cherbourg","0-10","Sí"
"383","Tercera clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","31-40","No"
"384","Primera clase","Femenino",35,"Con hermanos o cónyuges","Sin hijos ni padres",52,"Southampton","31-40","Sí"
"385","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"386","Segunda clase","Masculino",18,"Sin hermanos ni cónyuges","Sin hijos ni padres",73.5,"Southampton","11-20","No"
"387","Tercera clase","Masculino",1,"Con hermanos o cónyuges","Con hijos o padres",46.9,"Southampton","0-10","No"
"388","Segunda clase","Femenino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"389","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7292,"Queenstown","21-30","No"
"390","Segunda clase","Femenino",17,"Sin hermanos ni cónyuges","Sin hijos ni padres",12,"Cherbourg","11-20","Sí"
"391","Primera clase","Masculino",36,"Con hermanos o cónyuges","Con hijos o padres",120,"Southampton","31-40","Sí"
"392","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7958,"Southampton","21-30","Sí"
"393","Tercera clase","Masculino",28,"Con hermanos o cónyuges","Sin hijos ni padres",7.925,"Southampton","21-30","No"
"394","Primera clase","Femenino",23,"Con hermanos o cónyuges","Sin hijos ni padres",113.275,"Cherbourg","21-30","Sí"
"395","Tercera clase","Femenino",24,"Sin hermanos ni cónyuges","Con hijos o padres",16.7,"Southampton","21-30","Sí"
"396","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7958,"Southampton","21-30","No"
"397","Tercera clase","Femenino",31,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8542,"Southampton","31-40","No"
"398","Segunda clase","Masculino",46,"Sin hermanos ni cónyuges","Sin hijos ni padres",26,"Southampton","41-50","No"
"399","Segunda clase","Masculino",23,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","21-30","No"
"400","Segunda clase","Femenino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",12.65,"Southampton","21-30","Sí"
"401","Tercera clase","Masculino",39,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","31-40","Sí"
"402","Tercera clase","Masculino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"403","Tercera clase","Femenino",21,"Con hermanos o cónyuges","Sin hijos ni padres",9.825,"Southampton","21-30","No"
"404","Tercera clase","Masculino",28,"Con hermanos o cónyuges","Sin hijos ni padres",15.85,"Southampton","21-30","No"
"405","Tercera clase","Femenino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6625,"Southampton","11-20","No"
"406","Segunda clase","Masculino",34,"Con hermanos o cónyuges","Sin hijos ni padres",21,"Southampton","31-40","No"
"407","Tercera clase","Masculino",51,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Southampton","51-60","No"
"408","Segunda clase","Masculino",3,"Con hermanos o cónyuges","Con hijos o padres",18.75,"Southampton","0-10","Sí"
"409","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","No"
"410","Tercera clase","Femenino",5,"Con hermanos o cónyuges","Con hijos o padres",25.4667,"Southampton","0-10","No"
"411","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"412","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",6.8583,"Queenstown","21-30","No"
"413","Primera clase","Femenino",33,"Con hermanos o cónyuges","Sin hijos ni padres",90,"Queenstown","31-40","Sí"
"414","Segunda clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","31-40","No"
"415","Tercera clase","Masculino",44,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","41-50","Sí"
"416","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"417","Segunda clase","Femenino",34,"Con hermanos o cónyuges","Con hijos o padres",32.5,"Southampton","31-40","Sí"
"418","Segunda clase","Femenino",18,"Sin hermanos ni cónyuges","Con hijos o padres",13,"Southampton","11-20","Sí"
"419","Segunda clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"420","Tercera clase","Femenino",10,"Sin hermanos ni cónyuges","Con hijos o padres",24.15,"Southampton","0-10","No"
"421","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Cherbourg","21-30","No"
"422","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7333,"Queenstown","21-30","No"
"423","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.875,"Southampton","21-30","No"
"424","Tercera clase","Femenino",28,"Con hermanos o cónyuges","Con hijos o padres",14.4,"Southampton","21-30","No"
"425","Tercera clase","Masculino",18,"Con hermanos o cónyuges","Con hijos o padres",20.2125,"Southampton","11-20","No"
"426","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","No"
"427","Segunda clase","Femenino",28,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","21-30","Sí"
"428","Segunda clase","Femenino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",26,"Southampton","11-20","Sí"
"429","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"430","Tercera clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","31-40","Sí"
"431","Primera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","21-30","Sí"
"432","Tercera clase","Femenino",21,"Con hermanos o cónyuges","Sin hijos ni padres",16.1,"Southampton","21-30","Sí"
"433","Segunda clase","Femenino",42,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","41-50","Sí"
"434","Tercera clase","Masculino",17,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.125,"Southampton","11-20","No"
"435","Primera clase","Masculino",50,"Con hermanos o cónyuges","Sin hijos ni padres",55.9,"Southampton","41-50","No"
"436","Primera clase","Femenino",14,"Con hermanos o cónyuges","Con hijos o padres",120,"Southampton","11-20","Sí"
"437","Tercera clase","Femenino",21,"Con hermanos o cónyuges","Con hijos o padres",34.375,"Southampton","21-30","No"
"438","Segunda clase","Femenino",24,"Con hermanos o cónyuges","Con hijos o padres",18.75,"Southampton","21-30","Sí"
"439","Primera clase","Masculino",64,"Con hermanos o cónyuges","Con hijos o padres",263,"Southampton","61-70","No"
"440","Segunda clase","Masculino",31,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","31-40","No"
"441","Segunda clase","Femenino",45,"Con hermanos o cónyuges","Con hijos o padres",26.25,"Southampton","41-50","Sí"
"442","Tercera clase","Masculino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.5,"Southampton","11-20","No"
"443","Tercera clase","Masculino",25,"Con hermanos o cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","No"
"444","Segunda clase","Femenino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","Sí"
"445","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.1125,"Southampton","21-30","Sí"
"446","Primera clase","Masculino",4,"Sin hermanos ni cónyuges","Con hijos o padres",81.8583,"Southampton","0-10","Sí"
"447","Segunda clase","Femenino",13,"Sin hermanos ni cónyuges","Con hijos o padres",19.5,"Southampton","11-20","Sí"
"448","Primera clase","Masculino",34,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","31-40","Sí"
"449","Tercera clase","Femenino",5,"Con hermanos o cónyuges","Con hijos o padres",19.2583,"Cherbourg","0-10","Sí"
"450","Primera clase","Masculino",52,"Sin hermanos ni cónyuges","Sin hijos ni padres",30.5,"Southampton","51-60","Sí"
"451","Segunda clase","Masculino",36,"Con hermanos o cónyuges","Con hijos o padres",27.75,"Southampton","31-40","No"
"452","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Sin hijos ni padres",19.9667,"Southampton","21-30","No"
"453","Primera clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",27.75,"Cherbourg","21-30","No"
"454","Primera clase","Masculino",49,"Con hermanos o cónyuges","Sin hijos ni padres",89.1042,"Cherbourg","41-50","Sí"
"455","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"456","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Cherbourg","21-30","Sí"
"457","Primera clase","Masculino",65,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","61-70","No"
